<<<<<<< HEAD:RawBiogasReg_Pig_Bag.csv
Pig Manure (t),Bagasse feed (t),Raw Biogas Produced (m3),,,Pig 
26.4,0,13044,,,
19.4,0,3601,,,
32.46,0,13376,,,
0,0,0,,,
0,0,0,,,
39.38,0,11390,,,
45.68,0,11119,,,
19.24,0,9704,,,
36.38,0,15225,,,
26.3,10,12765,,,
24.84,7.5,14302,,,
29.78,10,14801,,,
23.26,10,14188,,,
20.46,10,13477,,,
22.84,15,11560,,,
25.12,15.3,16360,,,
25.68,15.3,13872,,,
18.38,12.15,12302,,,
17.92,15.3,23853,,,
18.12,10.8,17404,,,
12.78,1.35,13754,,,
25.78,15.3,18744,,,
18.66,20.25,18533,,,
24.08,20.25,18106,,,
11.2,20.25,16790,,,
5.56,18,18787,,,
27.6,20.25,18667,,,
11.4,15.75,18916,,,
17.84,35,19957,,,
17.74,35,19637,,,
24.52,35,17667,,,
33.44,35,19603,,,
13.08,35,17535,,,
21.74,27.9,18225,,,
12.26,35,14773,,,
18.58,35,17948,,,
18.12,12.6,15945,,,
24.44,15.75,16334,,,
30.78,15.57,16874,,,
20.96,22.05,17804,,,
12.02,35,17633,,,
5.54,35,16411,,,
27.16,27,18479,,,
30.74,36,19264,,,
17.94,36.9,20065,,,
22.14,27,18255,,,
18.7,40,19057,,,
6.64,10.8,16029,,,
12.2,24.75,20140,,,
17.54,13.5,21041,,,
35.92,5.4,12707,,,
0,0,0,,,
0,0,5326,,,
46.86,0,20731,,,
12.74,18,18843,,,
24.64,13.5,18522,,,
12.16,10.8,20155,,,
33.08,15.3,21001,,,
17.94,13.5,19774,,,
25.54,14.6,20885,,,
23.06,6.75,21385,,,
13.78,10.4,20009,,,
16.7,16.2,19403,,,
35.52,13.5,18854,,,
10.76,13.5,20677,,,
29.68,14.4,18252,,,
12.86,12.6,20496,,,
24.22,6.75,17882,,,
21.02,9.9,21378,,,
13.2,8.1,20517,,,
22.82,18,17781,,,
45.32,12.6,19180,,,
13.02,19.8,21517,,,
7.5,24.9,19710,,,
30.98,24.79,21433,,,
29.02,13.5,21744,,,
12.34,20.25,19497,,,
9.26,27.45,19761,,,
35.74,21.6,18392,,,
5.66,11.7,22450,,,
27.26,4.5,18819,,,
23.02,7.45,20163,,,
11.86,18.45,20769,,,
24.24,4.5,19414,,,
17.12,18.9,19881,,,
11.8,9,19262,,,
18.24,4.5,18396,,,
10.68,7.2,19286,,,
28.14,16.2,19317,,,
17.5,4.5,21580,,,
11.56,3.6,19299,,,
5.54,16.2,19255,,,
31.62,6.3,18009,,,
28.82,21.6,19625,,,
5.86,29.7,16968,,,
25.48,5.4,19644,,,
5.74,21.6,18428,,,
31.46,4.5,20863,,,
17.48,33.75,19049,,,
16.74,71.55,22360,,,
17.84,55,21000,,,
19.8,39.15,23204,,,
11.8,2.7,23008,,,
36.52,1.34,21128,,,
17.36,0,22143,,,
18.56,0,22440,,,
22.9,0,20864,,,
13.7,0,21857,,,
19.22,0,20646,,,
33.78,0,16126,,,
0,0,15022,,,
0,0,11722,,,
0,0,17036,,,
34.54,0,17093,,,
18.18,0,18324,,,
16.06,0,19015,,,
21.1,0,14304,,,
11.32,0,18793,,,
0.001,0,10941,,,
12.4,0,16703,,,
49.6,0,16693,,,
33.3,0,19403,,,
23.64,0,20184,,,
12.92,0,18727,,,
13.16,0,18572,,,
5.56,0,15515,,,
18.32,0,18532,,,
5.46,0,21448,,,
25.38,0,18084,,,
36,0,19718,,,
13.12,0,19283,,,
32.46,0,16033,,,
11.5,0,18643,,,
24.56,0,16428,,,
30.48,0,19115,,,
12.42,0,17393,,,
17.82,0,18919,,,
16.24,0,16364,,,
25.9,0,15687,,,
29.32,0,15781,,,
3.92,0,16773,,,
30.86,0,20869,,,
19.26,0,15515,,,
25.36,0,17605,,,
12.28,5.4,17516,,,
17.9,5.4,14682,,,
12,5.4,14765,,,
6.88,5.4,16981,,,
9.56,5.4,13722,,,
30.94,5.4,19999,,,
31.54,1.8,18336,,,
18.36,5.4,18092,,,
16.8,5.4,19284,,,
30.58,5.4,18940,,,
31.92,0,17730,,,
18.86,0,15759,,,
18.28,0,16851,,,
27.16,0,8987,,,
23.28,0,12296,,,
25.58,0,12280,,,
27.04,0,12642,,,
39.3,0,17361,,,
24.04,24.04,14861,,,
12.26,0,14844,,,
25.66,0,18302,,,
25.48,0,14561,,,
48.54,0,14193,,,
0,0,0,,,
0,0,0,,,
12.82,0,0,,,
29.96,0,4757,,,
45.22,0,13571,,,
0,0,14155,,,
11.04,0,14548,,,
19.94,4.5,12128,,,
18.3,4.5,12400,,,
34.86,4.5,14661,,,
18,0,19977,,,
12.12,0,17710,,,
44.66,0,18389,,,
18,10.35,18186,,,
11.84,10.35,15892,,,
38.52,7.65,12055,,,
39.12,10.35,13449,,,
29.82,10.35,13991,,,
31.4,0,15670,,,
25.54,0,16781,,,
22.46,0,14302,,,
23.8,0,18552,,,
18.3,0,8356,,,
24.56,0,15222,,,
41.14,0,17143,,,
26.92,0,19345,,,
24.2,0,19299,,,
25.76,0,17272,,,
32.62,0,20468,,,
32.82,0,20573,,,
38.86,0,19952,,,
19.76,0,18656,,,
27.26,0,20258,,,
25.64,0,21170,,,
24.58,0,22799,,,
38.78,0,19908,,,
37.52,0,21009,,,
24.34,0,19914,,,
42.12,15,18874,,,
29.22,0,21643,,,
25.88,0,21278,,,
43.16,0,18248,,,
30.36,0,17840,,,
31.16,5.4,21141,,,
35.36,10.8,19657,,,
20.18,4.5,22195,,,
12.72,4.5,19714,,,
39.3,0,21030,,,
18.64,0,20451,,,
39.84,0,20543,,,
30.96,0,20875,,,
39.5,0,21222,,,
24.94,0,22809,,,
39.36,0,21903,,,
34.48,0,20814,,,
32.54,0,20813,,,
32.52,0,19834,,,
26.46,6.75,19039,,,
33.9,13.5,20027,,,
37.72,20.25,21595,,,
39,20.25,22701,,,
24.8,20.25,19566,,,
25.42,9,19579,,,
31.42,20.25,20319,,,
30.96,20.25,22824,,,
25.9,20.25,20373,,,
26.54,20.25,20568,,,
25.8,20.25,18746,,,
24.68,20.25,16839,,,
6.8,6.75,13502,,,
36.74,18,15562,,,
33.34,20.25,16067,,,
36.7,13.5,17189,,,
33.32,20.25,20171,,,
31.3,20.25,15486,,,
20.26,20.25,14971,,,
30.94,20.25,16321,,,
44.88,20.25,20493,,,
19.24,20.25,17614,,,
39.02,20.25,19348,,,
34.7,20.25,19977,,,
24.68,20.25,19272,,,
39.7,20.25,22037,,,
49.56,33.75,20559,,,
32.32,41.3,22491,,,
11.26,0,19002,,,
25.14,0,20528,,,
36.78,0,18111,,,
26.04,20.25,18805,,,
29.16,0,19184,,,
44.6,6.3,18674,,,
18.5,11.25,20001,,,
29.7,20.25,18968,,,
19.34,9,19731,,,
30.76,20.25,24068,,,
18.62,0,19708,,,
24.88,0,15843,,,
30.9,20.25,19930,,,
19.98,0,18436,,,
38.44,11.7,21786,,,
27.56,20.25,19592,,,
44.48,9,20865,,,
40.62,0,23624,,,
24.54,4.5,22312,,,
33.64,10,20332,,,
24.78,9,20541,,,
27.1,8.1,19097,,,
45.78,0,17886,,,
24.46,0,18426,,,
42.78,11.25,17663,,,
39.24,6.75,16435,,,
23.34,9,18489,,,
37.78,0,15096,,,
0,0,7724,,,
0,0,10838,,,
0,0,7528,,,
0,10.35,9333,,,
37.86,13.5,9690,,,
38.7,4.5,15159,,,
30.68,20.25,12340,,,
23.8,20.25,15882,,,
29.6,9,18439,,,
33.7,10.8,17772,,,
63.76,11.25,18322,,,
12.44,15.75,19173,,,
=======
Pig Manure (t),Bagasse feed (t),Raw Biogas Produced (m3)
0,0,5154
0,0,3426
0,0,5885
14.9,13,3727
0,16,4072
14,16,4025
14.9,8,4664
14,0,4592
14.2,7,4420
14.2,15,4628
17.04,15,4662
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
3,15.07,6839
12.94,15,6251
5.76,15,7593
6.14,15,6732
9.56,15,7916
6.69,8,5746
6.56,11,5526
6820,19,6762
11.5,15,5820
6.82,15,7027
0,15,6674
6.66,15,7687
12.5,0,7145
9.54,9,7024
2.98,13,3310
6.04,6,2816
15.36,9,3227
6.3,15,3491
7,15,2828
3.85,4.5,3184
7.52,5,3142
0,17.5,2979
6.22,20,0
6.72,17.5,3917
7.02,20,1658
5.68,20,2590
6.16,20,0
6.4,20,2902
7.18,20,3584
8.58,30,3580
6.16,28,3141
5.52,32,0
5.26,30,0
9.52,30,3730
6.62,21,5200
6.28,15,4762
0,19.25,0
0,30,4745
0,30,0
0,20,3214
0,20,4300
0,20,3990
6.2,20,4568
6.32,10,2533
0,0,1245
0,0,2413
0,0,2084
0,0,1930
0,0,1740
0,0,0
0,0,0
0,0,0
0,0,910
0,0,0
0,0,2160
0,0,590
14.6,20.8,0
17.8,26.104,1344
10.92,0,3948
0,10.92,2225
3.6,25.1,5963
9.28,20,4934
9.68,20,3415
9.68,20,3893
10.9,20,3359
10.4,30,2538
3.68,37,5125
9.44,37.8,5077
6.66,40,5265
0,0,0
11.84,40,6650
3.18,40,3597
6.54,40,8240
6.74,35,6577
6.46,40,6412
3.5,40,6793
3.68,20,3423
6.44,40,5527
12.74,32,7444
14.52,40,9175
6.22,40,10550
9.24,40,9824
10.42,40,0
11.98,40,13507
11.76,40,8835
14.85,36,8875
6.1,20,12212
0,0,0
0,0,0
0,0,0
0,18,4661
0,40,4659
0,40,6131
6.4,20,4967
0,27,4726
0,23,3558
0,50,6348
9.68,26,5081
9.7,50,6783
0,6.36,5940
0,0,0
14.32,40,8189
3.26,40,4910
3.24,27,5026
2.96,5.4,3118
6.47,19.08,5123
3.16,29,4451
3.02,37,5317
3.26,35,6696
10.16,40,6009
10.44,40,5104
8.28,35,4518
8.61,40,5823
0,40,5242
10.24,40,6126
5.74,21,5530
3.64,16,5075
3.2,14,5550
5.94,35,5932
2.82,0,4107
5.56,33,6990
5.44,30,7385
0,37,6213
3.5,36,4796
6.56,15,5659
3.06,34,6452
3.02,35,5483
3,31,12928
0,30,6062
2.98,29,4402
3.66,26,0
0,10,5169
10.1,10,4758
9.88,22,4729
3.18,20,4153
3.06,22.7,4528
3.5,32,7638
3.46,0,5520
0,0,6600
0,0,6183
8.68,2,7113
2.52,8,5909
3.72,10,7132
3.78,14,8533
3.42,5.6,4500
3.12,12.3,4629
6.18,4,3448
0,0,0
0,12,3463
3.54,21,4516
2.69,18,4104
3.07,22.6,5343
2.98,26.1,5667
2.26,16.8,4565
3.54,21.5,4631
10.5,2,4122
10.3,1,3064
3.37,1,3645
3.44,3.8,1796
3.36,0,2992
9.52,0,2505
0,1,1701
0,0,3836
0,0,4006
0,0,3117
6.54,0,2678
0,11.2,4608
0,4.9,4004
0,10.5,4224
0,17.5,4478
0,4.9,3339
0,0,3998
0,0,2912
0,0,2491
0,0,2300
0,0,1984
0,0,1865
0,10.5,1611
0,12,1854
0,0,1169
0,0,1530
0,0,1169
0,0,1735
5.6,0,1620
6.02,0,2520
0,0,2537
0,3,1117
0,15,0
2.78,24.8,2297
5.98,31,2505
2.86,15,2949
0,16,605
0,15,994
12.38,10,2204
6.32,25,3271
6.5,25,3699
10.72,25,3682
3.04,25,3845
6.74,25,3652
6.14,25,3276
2.94,25,4021
3.16,25,4078
6.66,24,4665
9.32,25,4716
0,12,1138
4.24,20,3715
0,30,4522
8.2,30,4973
10.75,30,5083
9.52,30,5540
10.32,30,5455
2.96,22,5609
3.18,14,5751
4.08,23,5777
3.44,30,6570
9.3,30,5854
10.3,25,6027
0,19,6101
3.22,30,6213
3.1,25,5726
4.96,20,5048
11.3,20,5253
3.08,11,4492
6.52,27,4188
3.12,33,4361
2.96,25,3978
3.14,20,5447
6.98,26,5861
0,16,4437
4.44,40,5116
3.14,34,5397
8.2,35,4555
3.1,31,5155
11.54,35,6231
6.32,26,5967
12.3,36,6306
18.38,36.8,7686
13.48,36.8,6987
6.54,38,5834
9.3,35,6021
10.8,19.78,6405
4.6,22.7,5821
7.58,37,6016
7.74,24,4224
14,38,6433
9.5,36,3860
8.6,33.6,8184
8.82,40,7018
3.14,22.64,6893
3.26,16.5,9121
8.5,8.2,10130
7.58,0,8529
17.42,8,8933
6.2,8.8,8978
6.26,22,8175
6.84,21,8604
9.76,20,7745
10.82,22,9245
8.14,21,9357
8.84,22,10043
11.1,20,4776
3.1,21,8688
9.16,20,9743
9.64,22,9700
4.96,21,10053
10.36,20,9468
0,21,9334
9.74,17.6,9163
11.6,4,9694
6.32,3,7832
8.42,9.7,11012
8.88,12.3,9853
9.26,11.4,9136
12.74,17.6,9105
3.28,4.4,9220
7.38,11.4,10835
5.12,9.7,11518
7.88,7.9,10740
4.4,8.8,9350
6.56,15,11559
4.46,10,9673
0,8,10084
7.18,8,10554
11.08,7,8039
0,0,0
9.44,5.8,8520
3.12,12,9525
14,5,9594
9.86,10,10937
14.22,8.4,10102
9.98,15,10533
17.4,13.2,10283
7.3,0,11183
10.18,7,8913
12.1,28.37,7856
6.48,33.4,7444
18.22,21,7054
0,8,5486
19.76,30,6975
22.36,22,6794
8.28,30,7096
2.78,0,4847
0,0,3874
0,0,3448
0,0,3691
0,0,2715
0,18,3024
9.4,20,4174
4.4,32,4343
13.44,30,5129
4.86,26,4921
15.82,25,5241
0,0,0
0,30,5565
10.5,39,6695
14.24,23,6555
0,0,4988
14.76,28,5885
5.88,30,6664
7.92,32,5627
5.64,23,6048
16.54,23,6017
7.56,27,6538
14.88,26,6213
6.9,21,6040
3.96,30,5994
12.52,28,6573
5.26,38.4,6601
6.14,29,7089
15.68,19,5040
3.74,25,7977
6.64,26,7526
14.98,16,5965
0.9,17,6035
10.22,25,6696
7.22,29,6234
15.78,21,6573
10.42,29,6090
10.44,25,6993
12.64,24.77,7050
6.24,26,8649
13.9,24.2,6475
8.02,26,8124
18.74,27,8885
13.4,29,7686
13.72,23,7751
5.2,22,9385
5.54,26,6900
7.3,28,7001
0,25,6341
9.16,25.1,6245
6.08,20,6298
13.26,25,8043
6.1,30.6,8575
17.96,22.8,8125
0,31,6614
21.14,21.3,7063
4.36,29,9197
10.66,31,8819
12.56,36,6870
4.18,33.3,6951
17.92,12.15,6015
12.12,27.48,6907
0,22.29,7585
0,26,6851
10.66,25,5890
0,7.3,5660
0,17.01,3569
18.96,15.38,7683
19,13.7,11364
11,27.82,7047
5.34,29,7536
10.4,11.3,8030
7.84,13.77,5551
0,25.08,6402
15.98,38.05,7032
6.16,32,6936
11.8,28,9601
11.98,34.1,7765
4.84,13.81,7621
8.74,12.16,6046
14.94,14.67,7579
0,60,7816
10.8,61,8903
18.88,84,13602
15.26,13.77,6544
13.92,29.16,15508
19.68,48.63,14730
11.14,39,15011
13.2,34.84,12960
8.64,54.14,1252
12.08,85.05,12225
11.38,82,13759
12.14,75.68,14361
11.02,80,16524
14.24,81,16777
3,23.49,15693
2.9,46.98,19351
14.46,81,15649
9.84,81,13572
5.96,56.26,11921
4.78,41.6,9010
14.04,40,8345
6.42,40,10165
10.18,40,9157
5.36,40,6336
12.78,40,6752
5.32,40,7743
10.48,40,9700
9.96,40,8967
3.12,40,8446
6.1,20,8958
6.12,18,8596
10.66,22.68,9639
9.84,29.16,9283
0,20.38,8397
15.2,13,7771
10.3,0,6685
0,0,3826
9.2,2.5,4019
10.68,21.87,5871
5.74,25.11,5749
11.48,25.17,6390
13.5,25.17,6893
0,25,6343
10.08,25,6036
5.74,17,5676
4.98,21,5904
10.26,25,5943
12.06,12,6413
20.38,13.76,5829
0,17,5529
0,16.2,5169
0,10,7040
5.3,8.1,7050
0,2.5,6924
12.28,14.58,8894
0,8.8,9790
18.48,12.96,8642
10.4,7.36,1054
7.94,19.66,9507
5.3,7,9896
6.18,0,9356
9.66,1,7860
10.52,15.39,8235
5.94,8.91,9611
4.6,5,7250
15.44,9,8395
9.58,17.48,4642
10.36,28,7273
4.52,25,7444
6.88,23.49,1099
11.44,13.77,11830
8.02,7.29,12364
0,7,12056
9.62,12,9239
10.2,16.2,7515.846154
10.64,2.43,8410
6.08,8.1,11234
8.9,26.7,7200
8.9,8.1,7399
11.5,9.6,7474
10.28,10.4,7501
5.7,12,7088
7.86,6.4,7154
11.74,15,5705
7.12,6.4,5940
9.78,9.6,5421
5.42,9.6,5375
14.54,16.1,5264
13.62,9,5025
10.76,15.2,5680
12.02,10.53,4409
5,6.4,3940
5.32,4.8,4544
9.54,7.2,4144
8.12,0,3885
5.58,0,4174
6.4,0,4442
0,0,3718
5.72,0,2370
14.42,0,2168
5.86,0,3520
12.86,0,3018
9.3,0,2218
11.26,0,3109
5.92,0,4365
9.86,0,4278
0,0,6394
5.98,0,7291
0,0,2216
11.44,25,4074
9.78,25,4089
4.28,25,3531
5.6,25,3546
6.56,25,4367
10.3,22.68,4012
5.52,25,3616
0,30.8,4792
12.16,39.82,3032
11.96,6.8,4657
0,0,3279
10.76,0,3505
11.9,0,3366
0,0,2898
17.1,0,3168
0,0,2736
6,0,2249
10.26,0,3206
6,0,1810
10.46,0,2938
0,0,1976
6.04,0,2368
12.18,0,2672
16.32,0,1869
11.04,0,3111
6.12,0,1240
11.24,0,3027
0,0,2750
6.2,0,2154
15.56,0,1769
5.96,0,2441
6.24,0,2361
0,0,2165
10.74,0,1744
6.1,0,1923
16.84,0,2178
0,0,1283
10.7,0,2024
11.12,0,1733
0,0,1804
11.14,0,1552
6.7,0,2322
12.44,0,2329
0,0,1783
17.48,0,2490
9.62,0,1942
4.58,0,2793
11.96,0,2474
10.12,0,2391
11.54,0,4158
12.84,0,3168
0,0,2848
18.82,0,2841
12.52,0,2585
9.3,0,2437
17.4,0,2738
5.32,0,2960
5.28,0,0
0,0,2139
10.58,3.2,2023
21.7,5.4,2724
11.36,3.6,2756
11.56,4,2425
12.5,1.3,3213
5.96,6.3,2550
16.18,6.4,1339
0,4,2360
0,4,1718
9.64,14.48,2623
12.2,19.4,2545
7.68,29.6,3558
6.72,10.4,2803
17.56,30.8,5555
6.52,26.92,5755
6.34,1.6,5032
10.34,1.39,3201
6.3,0,5910
12.24,0,5624
14.68,0,4448
7.3,0,3361
17.48,0,2591
4.18,0,2691
6.38,0,2478
11.72,0,2687
9.28,0,2674
0,0,1177
5.92,0,9
9.18,0,2232
17.32,0,2847
14.04,0,2880
22.2,0,2954
20.84,0,2949
16.88,0,2836
9.9,0,3277
10.22,0,2980
18.14,0,4139
11.22,0,3468
6,0,3890
14.38,0,3724
11.58,0,4309
17.66,0,5724
10.52,0,5820
6.96,0,5755
19.12,0,6946
23.66,0,7038
22.24,0,7407
24.57,0,8281
12.02,0,7925
16.26,0,7761
22.88,0,9509
10.36,0,8379
22.22,0,8468
18.02,0,8262
17.12,0,7065
19.3,0,6805
0,0,184
0,0,0
30.06,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
4.82,0,4222
11.06,0,1927
0,0,0
2.88,0,3472
16.98,0,9785
6.24,0,11239
15.84,0,9894
16.4,0,10103
11.6,0,8020
16.22,8.8,13950
56.78,2.25,16458
45.86,3.75,15900
32.02,0.95,10482
23.52,0.75,12811
12.04,1.95,14075
7.02,0.37,9317
22.28,1.75,15495
5.5,0.75,17592
18.94,3.75,19831
6.52,1.57,20409
15.3,2.25,23126
16.72,4,17993
0,0,15497
0,0,10923
0,0,15908
23.78,3.75,21569
18.86,7.5,22332
7.12,0.75,16874
10.7,21.21,12175
11.08,4.4,17761
14.3,1.5,18347
17.48,3.75,12472
19.66,3.75,20185
3.92,1.5,18342
22.94,3,19414
6.66,0.5,12585
19.66,2.25,8136
17.22,2.25,7486
17.74,2.6,10581
21.72,2.25,7752
14.54,2.25,8008
17.6,2.25,4210
0,0,3236
0,0,3219
0,0,1682
0,0,2084
4.38,0.75,3703
24.7,3.75,6506
16.64,2.25,4754
5.82,0.75,6989
21.02,2.25,11402
16.7,2.25,7575
0,0,1803
26.06,2.25,9680
5.88,0.75,9071
16.42,2.25,7386
11.84,2.25,12655
9.44,1.5,7809
0,0,5256
12.14,1.5,17520
7.18,0.75,17210
10.28,1.5,13519
20.08,2.25,10183
21.28,2.25,15960
18.58,2.25,12585
11.7,1.5,17075
0,1.5,18437
12,1.5,14236
19.22,13.5,12139
5.98,1.5,15863
0,0,15391
25.8,3.75,14555
14.72,2.25,16412
11.22,1.5,17791
5.24,0.75,14695
11.46,2.25,18935
19.6,3,20136
5.94,1.5,16085
0,0,17403
8.22,1,12349
6.32,1,12812
33.72,34.56,14182
12.44,44.95,9764
0,34.75,6837
0,16.35,5651
20.28,46.5,8368
38.46,59.41,11651
12.08,57.04,8797
12.18,29.78,9625
14.74,34.18,10663
4.3,34.75,12932
19.54,9.36,14208
6.8,6.96,12361
0,0,7807
14,1,6426
31.8,29.66,9661
12.84,34.24,8330
11.46,30,8310
16.4,27,7949
4.92,28.6,8009
16.94,45.94,8952
11.58,49.14,10171
18.1,46.88,9496
9.56,49.9,12940
7.5,48.74,10157
5.8,49.36,10061
6.32,25.26,9696
12.2,25.18,8724
6.64,25.48,8555
4.94,10.19,9382
10,11.64,5538
9.7,3.06,5812
16.2,5.78,6491
18.76,6.4,7515
4.52,20.12,6030
11.82,42.22,8828
6.38,22.96,7405
5.44,30.48,6907
9.56,29.68,8105
23.08,36.78,8634
10.07,46.47,8913
4.76,45.14,9901
5.28,41.11,9915
8.32,46.14,8286
5.88,47.08,10211
12.86,41.69,9864
7.32,44.27,9825
4.04,41.35,12126
0,0,8698
29.52,8.24,6667
11.28,29.08,7976
0,47.35,8267
11.4,24.64,7555
5.9,32.24,8154
6,34.37,7268
16.18,39.74,7579
7.88,26.91,9132
0,10.65,9138
11.64,50.8,10593
0,37.72,10896
16.68,37.18,10506
0,0,6553
12.52,11.08,6532
24.8,12.15,9085
4.02,8.74,7018
0,0,6099
0,0,4532
0,0,2797
15.48,5.97,4958
37.52,4.86,4332
10.2,21.16,9253
18.82,19.38,10819
0,0,6472
12.52,11.94,5190
11.6,14.14,5466
5.76,5.58,4705
14.88,23.04,5436
0,0,7100
17.48,6.14,5880
6.4,12.36,3775
11.44,20.12,4743
12.78,11.22,5081
12.08,15.52,5272
0,0,4247
0,11.01,3617
0,23.87,3900
26.18,16.11,4929
9.48,14.48,4915
16.78,11.04,4701
6.42,13.28,5767
10.76,7.25,4483
0,14.34,3741
5.6,20.13,5060
12.52,9.44,5052
11.22,20.04,5208
12.42,25.18,6075
12.76,16.68,6342
0,18.5,5494
6.12,3.06,5420
13.26,18.1,5556
17.08,20.48,6040
16.04,23.11,8087
0,8.8,5932
7.5,6.22,4683
24.92,16.02,5120
6.04,9.94,5234
10.22,7,6981
0,0,7140
18.66,12.46,6273
18.36,5.2,6462
6.04,0,6509
5.48,0,3902
12.56,4.18,4971
6.48,4.3,4213
6.26,4.44,869
0,0,0
0,0,0
0,0,765
6.26,3.68,3476
32.74,0,3657
31.1,0,5163
25.6,23.32,6830
0,27.18,6311
11.42,22.08,8413
10.84,16.6,6606
6.28,15.05,5274
12.2,14.76,3344
6.06,20.7,5062
11.82,11.84,3891
0,30.72,2876
5.66,32.58,4250
6.96,10.26,6446
6.06,5.3,5344
11.68,6.98,5400
12.38,6.32,3944
12.12,6.12,4083
14.96,6.72,4058
0,0,3290
4.7,1.8,3976
10.8,10.56,4283
12.78,0,3983
11.26,0,5392
5.26,5.2,5148
16.68,0,5367
11.42,11.38,7323
18.46,13.24,5943
15.54,6.18,4665
5.7,5.62,4470
16.6,6.94,4230
10.82,3.5,4349
17.88,3,4900
12.96,3,4794
6.08,0,4611
0,0,2065
12.08,0,4729
0,0,0
20.36,3,6280
22.02,3,4480
19.5,3,4083
4,18.9,2688
24.7,4.5,4466
18.12,4.5,4838
19.6,4.5,4849
21.04,3,5428
18.96,4,4576
13.8,3,4479
18.82,3,4708
18.54,3,3637
15.88,4.5,4098
18.62,0,4324
6.08,0,4471
18.06,0,2195
10.58,0,3103
14.3,0,3425
16.3,0,3389
11.32,0,3668
18.96,2.4,3073
19.6,5,4271
18.52,3,3450
9.92,5,4774
0,0,3214
12.62,3,3280
36.24,10,3155
0,0,2678
19.8,6,3788
6.48,2,3416
27.88,6,4165
14.24,6,4192
24.58,10,3823
20.26,6,4888
12.56,6,4354
0,0,3472
22.12,2,4872
18.84,6,5338
21.02,0,4639
21.04,6,5376
18.88,5,4704
18.92,5,5109
14.54,5,4553
16.7,5,3853
0,0,3236
18.68,3,2979
19.7,0,3954
12.34,0,3736
12.66,0,3691
19.8,0,3220
19.3,0,3660
19.52,0,3720
14.72,0,4050
0,0,3638
0,0,3196
19.14,0,4227
12.86,10,3986
12.92,9.96,2292
13.04,0,2771
14.02,0,1119
0,0,0
27.2,0,3258
7.3,0,2186
14.36,0,1575
5.72,0,2473
28,0,3136
20,0,3113
25.16,0,1864
45.82,0,5374
4.48,0,4834
0,0,2946
21.12,0,3508
19.94,0,2689
34.34,0,4371
18.64,0,3668
18.64,0,4002
13.9,0,3577
26.14,0,3473
12.32,0,3470
18.94,0,3356
16.94,0,2750
23.84,0,4479
17.98,0,3643
13.14,0,2829
24.86,0,3827
26.74,0,4729
25.44,0,3961
18.44,0,5322
24.74,0,4614
6.9,0,3984
41.6,0,5269
17.22,0,4241
5.8,0,3287
31.64,0,5872
19.62,0,5397
0,0,2218
0,0,0
0,0,0
14.52,0,1501
33.56,0,2663
10.88,0,8918
25.14,0,8090
34.2,0,7550
26.74,0,8605
33.9,0,12
26.3,0,13
27.2,0,8901
20.58,0,7644
34.01,0,8190
29.5,0,9445
23.76,0,9206
29.97,0,10193
33.66,0,10265
19.14,0,11647
26.38,0,10884
39,0,13835
28.16,0,11056
29.88,0,12338
27.28,0,14538
26.2,0,3618
6.36,0,7537
29.06,0,13224
45.94,0,18816
21.5,0,12358
21.54,0,12054
31.3,0,12934
24.4,0,12804
32.2,0,18018
14.4,0,16506
17.68,0,14121
25.32,0,12756
32.76,0,13829
22.7,0,13230
31.66,0,16875
19.62,0,15378
0,0,13186
31.66,14,14760
31.94,0,10615
26.22,0,7939
24.22,10,6790
27.04,17,15839
18.9,7,17399
19.68,13,15608
0,0,13891
25.76,18,15877
33.22,20,23619
24.18,10,19276
39.06,15,18591
20.82,25,19635
27.08,18,19618
19.06,47.6,20342
32.76,81,19505
26.64,74,14282
45.8,49,13116
40.82,26,14410
27.7,54.4,14689
26.14,18,5406
0,0,0
0,0,750
97,15,12020
27.48,12,11358
0,0,8677
0,0,6620
0,0,7840
0,0,6616
27.74,5,8207
26.5,20,11025
25.72,20,10745
26.72,18,9808
27.66,29.6,10916
19.68,5,11259
40.24,20,13843
19.2,25,11813
26.16,35.4,11200
29.7,27.6,14732
32.34,28.2,16839
19.44,29.4,15014
20.58,20.4,11491
26.96,22,13625
27.24,20,14275
0.9,15.6,14546
26.92,12.4,20366
42.76,4,20518
33.02,0,16909
27.96,15.75,16666
27.88,0,16817
21.08,0,19373
6.38,12,11544
38.62,18,12957
18.4,21.6,16054
35.02,16.2,15031
31.86,20.25,13345
28.96,18.45,14516
42.78,13.5,16609
33.66,19.8,16172
36.18,2.7,15431
26.32,15.3,15916
33.02,15.3,20425
23.98,15.3,18884
27.92,5.4,8511
34.36,10.35,17532
12.04,10.35,17380
31.8,10.35,16806
27.12,10.35,15567
29.36,10.35,14204
27.44,10.35,17742
35.74,10.35,18305
12.24,10.35,20524
22.7,0,18032
19.7,0,7183
40.2,0,17273
20.2,0,15781
26.2,0,19434
27,0,18570
26.74,0,18189
13.04,0,16515
25.46,0,17714
14.18,0,15376
26.64,0,13588
20.66,0,17142
19.84,0,15078
36.24,0,14421
38.3,0,14975
20.3,0,13396
20.96,0,14688
25.54,0,14155
27.72,0,16227
34.98,0,13113
23.32,0,9867
21.34,0,11588
19.64,0,14660
33.38,0,18424
